# Final state angular momentum:   1
# Broadening parameter (in eV):    0.350
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   19.42942943    0.00325312
   19.47947948    0.00320520
   19.52952953    0.00316039
   19.57957958    0.00311813
   19.62962963    0.00307792
   19.67967968    0.00303938
   19.72972973    0.00300224
   19.77977978    0.00296637
   19.82982983    0.00293175
   19.87987988    0.00289848
   19.92992993    0.00286675
   19.97997998    0.00283683
   20.03003003    0.00280905
   20.08008008    0.00278377
   20.13013013    0.00276132
   20.18018018    0.00274204
   20.23023023    0.00272620
   20.28028028    0.00271401
   20.33033033    0.00270560
   20.38038038    0.00270097
   20.43043043    0.00270001
   20.48048048    0.00270245
   20.53053053    0.00270788
   20.58058058    0.00271571
   20.63063063    0.00272520
   20.68068068    0.00273542
   20.73073073    0.00274533
   20.78078078    0.00275376
   20.83083083    0.00275948
   20.88088088    0.00276128
   20.93093093    0.00275804
   20.98098098    0.00274879
   21.03103103    0.00273281
   21.08108108    0.00270968
   21.13113113    0.00267933
   21.18118118    0.00264204
   21.23123123    0.00259837
   21.28128128    0.00254919
   21.33133133    0.00249554
   21.38138138    0.00243856
   21.43143143    0.00237944
   21.48148148    0.00231932
   21.53153153    0.00225922
   21.58158158    0.00220007
   21.63163163    0.00214259
   21.68168168    0.00208739
   21.73173173    0.00203490
   21.78178178    0.00198540
   21.83183183    0.00193908
   21.88188188    0.00189598
   21.93193193    0.00185610
   21.98198198    0.00181932
   22.03203203    0.00178551
   22.08208208    0.00175445
   22.13213213    0.00172592
   22.18218218    0.00169965
   22.23223223    0.00167537
   22.28228228    0.00165278
   22.33233233    0.00163159
   22.38238238    0.00161148
   22.43243243    0.00159218
   22.48248248    0.00157341
   22.53253253    0.00155491
   22.58258258    0.00153644
   22.63263263    0.00151783
   22.68268268    0.00149890
   22.73273273    0.00147954
   22.78278278    0.00145967
   22.83283283    0.00143925
   22.88288288    0.00141828
   22.93293293    0.00139677
   22.98298298    0.00137479
   23.03303303    0.00135243
   23.08308308    0.00132978
   23.13313313    0.00130695
   23.18318318    0.00128409
   23.23323323    0.00126132
   23.28328328    0.00123877
   23.33333333    0.00121658
   23.38338338    0.00119486
   23.43343343    0.00117372
   23.48348348    0.00115326
   23.53353353    0.00113355
   23.58358358    0.00111466
   23.63363363    0.00109661
   23.68368368    0.00107942
   23.73373373    0.00106311
   23.78378378    0.00104766
   23.83383383    0.00103304
   23.88388388    0.00101922
   23.93393393    0.00100615
   23.98398398    0.00099377
   24.03403403    0.00098203
   24.08408408    0.00097087
   24.13413413    0.00096023
   24.18418418    0.00095003
   24.23423423    0.00094023
   24.28428428    0.00093076
   24.33433433    0.00092156
   24.38438438    0.00091259
   24.43443443    0.00090381
   24.48448448    0.00089518
   24.53453453    0.00088667
   24.58458458    0.00087827
   24.63463463    0.00086995
   24.68468468    0.00086171
   24.73473473    0.00085356
   24.78478478    0.00084551
   24.83483483    0.00083755
   24.88488488    0.00082971
   24.93493493    0.00082199
   24.98498498    0.00081440
   25.03503504    0.00080695
   25.08508509    0.00079965
   25.13513514    0.00079248
   25.18518519    0.00078545
   25.23523524    0.00077852
   25.28528529    0.00077169
   25.33533534    0.00076492
